Upc,Department,qty,cents,incltaxes,inclfees,Name,proper Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
840124140851,Vape puffs,1,699,n,n,Kryptic kratom,Kryptic Kratom,,,n,1,0,0,n,,-21,,,,,0,n,,,,,,,
840124140899,Sundries,1,1299,n,n,Kryptic Kratom Extract Botanical Extract,Kryptic Kratom Extract Botanical Extract,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840124140905,Vape puffs,1,1999,n,n,Kryptic kratom,Kryptic Kratom,,,n,1,0,0,n,,9,,,,,0,n,,,,,,,
840124140912,Energy Drink,1,1999,n,n,Kchill,Kchill,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
840124140950,Sundries,1,1499,n,n,K chill,K Chill,,,n,1,0,0,n,,12,,,,,0,n,,,,,,,
840158608440,Sundries,1,599,n,n,Fre,Fre,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840158608624,Sundries,1,599,n,n,Fre,Fre,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840166600122,Beer,1,1199,n,n,Ballas point sculpin,Ballas Point Sculpin,12oz6pk,,n,1,1,0,n,,-20,,,,,,n,,,,,,,
840170618021,Tabbocco,1,558,n,n,Velo wintergreen 6mg,Velo Wintergreen 6mg,1,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840170618083,Tabbocco,1,558,n,n,Velo mint,Velo Mint,1,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840170618175,Tabbocco,1,699,n,n,Velo spearmint 9mg,Velo Spearmint 9mg,1,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840170618205,Tabbocco,1,558,n,n,Velo peppermint 6mg,Velo Peppermint 6mg,1,,n,1,0,0,n,,-3,,,,,0,n,,,,,,,
840170618236,Tabbocco,1,558,n,n,Velo peppermint,Velo Peppermint,1,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840170618267,Tabbocco,1,558,n,n,Velo citrus chill 6mg,Velo Citrus Chill 6mg,1,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840180220009,Sundries,1,399,n,n,Foil paper,Foil Paper,,,n,1,0,0,n,,5,,,,,0,n,,,,,,,
840180225004,Sundries,1,999,n,n,Beer pong set,Beer Pong Set,,,n,1,0,0,n,,2,,,,,0,n,,,,,,,
840180252000,Sundries,1,899,n,n,Tire inflator,Tire Inflator,,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
840229303335,Snacks /candy,1,299,n,n,Built puff cookie dough chunk,Built Puff Cookie Dough Chunk,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840229303625,Snacks /candy,1,299,n,n,Built puff brownie batter,Built Puff Brownie Batter,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840245600043,Liquor ,1,2099,n,n,El jimador varitypack,El Jimador Varitypack,12pk,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
840245600050,Beer,1,1899,n,n,Jack daniels varity pack,Jack Daniels Varity Pack,12pk,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840245600098,Beer,1,399,n,n,Bear,Bear,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
840245600203,Beer,1,389,n,n,Beer,Beer,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
840245600265,Beer,1,399,n,n,El jimador Grapefruit paloma style,El Jimador Grapefruit Paloma Style,23.5oz,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840245600289,Beer,1,399,n,n,el jimador lime margarita,El Jimador Lime Margarita,23.5 oz,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840245600449,Beer,1,999,n,n,Jack daniels strawberry,Jack Daniels Strawberry,6 pk,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840262400015,Beer,1,499,n,n,Hard mtn dew,Hard Mtn Dew,24oz,,n,1,0,0,n,,-22,,,,,0,n,,,,,,,
840262400039,Beer,1,499,n,n,Mtn dew watermelon zero sugar,Mtn Dew Watermelon Zero Sugar,24floz,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
840262400077,Beer,1,499,n,n,Hard mtn dew,Hard Mtn Dew,24oz,,n,1,0,0,n,,-35,,,,,0,n,,,,,,,
840262400138,Liquor ,1,1999,n,n,Mtn dew mix pack,Mtn Dew Mix Pack,12pk,,n,1,0,0,n,,2,,,,,0,n,,,,,,,
840262400169,Beer,1,499,n,n,Hard mtn dew livewire,Hard Mtn Dew Livewire,24oz,,n,1,0,0,n,,-12,,,,,0,n,,,,,,,
840262400190,Liquor ,1,1999,n,n,Hard mtn dev baja blast,Hard Mtn Dev Baja Blast,12pk,,n,1,0,0,n,,1,,,,,0,n,,,,,,,
840262400251,Beer,1,1999,n,n,Mtn dew varity pk,Mtn Dew Varity Pack,12pk,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840262400275,Beer,1,499,n,n,Lipton hard iced tea lemon flvrd,Lipton Hard Iced Tea Lemon Flvrd,24oz,,n,1,0,0,n,,-12,,,,,0,n,,,,,,,
840262400299,Beer,1,499,n,n,Lipton hard iced tea peach,Lipton Hard Iced Tea Peach,24oz,,n,1,0,0,n,,-14,,,,,0,n,,,,,,,
840262400510,Liquor ,1,1999,n,n,Lipton hard iced tea varity pack,Lipton Hard Iced Tea Varity Pack,12pk,,n,1,0,0,n,,4,,,,,0,n,,,,,,,
840294155594,Sundries,1,1999,n,n,Car,Car,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840323106757,Sundries,1,299,n,n,Aluminm foil,Aluminm Foil,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840929049281,Sundries,1,299,n,n,Imperial spoons,Imperial Spoons,36,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
841058005193,Sundries,1,199,n,n,Edge Sensitive Skin Shave Gel,Edge Sensitive Skin Shave Gel,2.75 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
841058005483,Sundries,1,199,n,n,Skintimate:Raspberry Rain with Vitamin E and Olive Butter,Skintimate:raspberry Rain With Vitamin E And Olive Butter,2.75 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
841409120773,Sundries,1,599,n,n,Party cups,Party Cups,12oz,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
841654565275,Tabbocco,1,1499,n,n,puff flex 2800,Puff Flex 2800,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
841654565305,Tabbocco,1,1499,n,n,Puff flex 2800 puff,Puff Flex 2800 Puff,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
842094112272,Mix cocktails,1,1199,n,n,Collins spicy amarena cocktail cherries,Collins Spicy Amarena Cocktail Cherries,10oz,,n,1,0,0,n,,5,,,,,0,n,,,,,,,
842094167067,Mix cocktails,1,1199,n,n,Collons bordeaux stemmed cherries,Collons Bordeaux Stemmed Cherries,10oz,,n,1,0,0,n,,2,,,,,0,n,,,,,,,
842094190447,Mix cocktails,1,1199,n,n,Collins bourbon stemmed cherries,Collins Bourbon Stemmed Cherries,10oz,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
842094194070,Mix cocktails,1,1199,n,n,Collins amarena cocktail cherries,Collins Amarena Cocktail Cherries,10foz,,n,1,0,0,n,,2,,,,,0,n,,,,,,,
842426149129,Tabbocco,1,99,n,n,White Owl Mini White Grape,White Owl Mini White Grape,pk,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
