Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,"Fee Multiplier",cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
"=""082000798767""",Beer,1,1999,n,n,"Smirnoff neon",12oz12pk,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""082000798965""",Beer,1,399,n,n,"Smirnoff pink",24oz,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""082000798989""",Beer,1,399,n,n,"Smirnoff Ice peach Lemonade",23.5fl,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""082000799023""",Beer,1,299,n,n,"Smirnoff pink lemonade","16 oz",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""082000799429""","Liquor ",1,1299,n,n,"Smirnoff peach lemonade",750ml,,n,1,0,0,n,,"=""-64""",,,,,0,n,,,,,,,
"=""082000799436""","Liquor ",1,2299,n,n,"Smirnoff peach lemonade",1.75l,,n,1,1,0,n,,"=""-13""",,,,,,n,,,,,,,
"=""082000799894""","Liquor ",1,1399,n,n,"Loyal lemonade",4pk,,n,1,0,0,n,,"=""2""",,,,,0,n,,,,,,,
"=""082000799917""","Liquor ",1,1399,n,n,"Loyal mixed berry lemonade",4Pk,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""082000799931""","Liquor ",1,1399,n,n,"Loyal lemonads +iced tea",4pk,,n,1,0,0,n,,"=""5""",,,,,0,n,,,,,,,
"=""082000799955""","Liquor ",1,1399,n,n,"Loyal watermelon lemonade",4pk,,n,1,0,0,n,,"=""-1""",,,,,0,n,,,,,,,
"=""082000800439""",Beer,1,1399,n,n,"Captain morgan",,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""082000800934""",Beer,1,399,n,n,"Smirnoff ice pink lemonade",,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""082000801917""","Liquor ",1,24999,n,n,"Crown royal golden apple 23 years apple flavored whiskey",750ml,,n,1,0,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""082000802167""","Liquor ",1,2299,n,n,"Smirnoff spicy tamarind","1.75 L",,n,1,1,0,n,,"=""-8""",,,,,,n,,,,,,,
"=""082000802181""","Liquor ",1,1299,n,n,"Smirnoff  blueresberry lemonade",750ml,,n,1,0,0,n,,"=""-56""",,,,,0,n,,,,,,,
"=""082000802198""","Liquor ",1,2299,n,n,"Smrnoff blue raspberry",1.75L,,n,1,1,0,n,,"=""-39""",,,,,,n,,,,,,,
"=""082000802266""","Liquor ",1,3699,n,n,"Captain morgan 100proof",1.75ml,,n,1,0,0,n,,"=""3""",,,,,0,n,,,,,,,
"=""082000802754""",Beer,1,1999,n,n,"Captain morgan sliced variety pack","12pk 12oz",,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""082000803195""","Liquor ",1,5699,n,n,"Bulleit single malt frontier whiskey",750ml,,n,1,0,0,n,,"=""4""",,,,,0,n,,,,,,,
"=""082000803324""",Beer,1,1099,n,n,"Smirnoff blue raspberry",6pk,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""082000804284""","Liquor ",1,2299,n,n,"Smirnoff orange","1.75 l",,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""082000804291""","Liquor ",1,2299,n,n,"Smirnoff strawberry",1.75l,,n,1,0,0,n,,"=""-1""",,,,,0,n,,,,,,,
"=""082000804369""","Liquor ",1,2299,n,n,"Sim whipd",,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""082000804819""","Liquor ",1,1299,n,n,"Smirnoff red white & merry",750ml,,n,1,0,0,n,,"=""10""",,,,,0,n,,,,,,,
"=""082000805564""","Liquor ",1,1999,n,n,"Crown 8 pack",,,n,1,1,0,n,,"=""-8""",,,,,,n,,,,,,,
"=""082000805946""",Beer,1,399,n,n,"Smirnoff ice snash tea hard lemon tea",23.floz,,n,1,1,0,n,,"=""-19""",,,,,,n,,,,,,,
"=""082000805984""",Beer,1,399,n,n,"Smirnoff ice smash hard peach tea",23.5fl,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""082000806165""","Liquor ",1,599,n,n,"Smirnoff tamarindo ",375ml,,n,1,1,0,n,,"=""9""",,,,,,n,,,,,,,
"=""082000806394""",Beer,1,389,n,n,"Smirnoff ice original",7.5floz,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""082000806554""","Liquor ",1,1899,n,n,"Smirnoff smash vodka soda",8pk,,n,1,0,0,n,,"=""5""",,,,,0,n,,,,,,,
